freq_MHz,A=0.05,A=0.1,A=0.15,A=0.2,A=0.25,A=0.3,A=0.35,A=0.4,A=0.45,A=0.5
50,-27.980,-21.930,-18.390,-15.900,-13.960,-12.370,-11.040,-9.870,-8.850,-7.930
60,-27.940,-21.880,-18.350,-15.850,-13.920,-12.330,-10.990,-9.830,-8.800,-7.890
70,-27.900,-21.850,-18.310,-15.820,-13.880,-12.290,-10.960,-9.790,-8.770,-7.860
80,-27.880,-21.820,-18.280,-15.790,-13.850,-12.270,-10.930,-9.770,-8.740,-7.830
120,-27.770,-21.760,-18.230,-15.740,-13.790,-12.210,-10.870,-9.710,-8.690,-7.780
130,-27.760,-21.750,-18.220,-15.730,-13.780,-12.200,-10.860,-9.700,-8.670,-7.770
140,-27.750,-21.750,-18.210,-15.720,-13.780,-12.190,-10.850,-9.690,-8.670,-7.760
150,-27.750,-21.740,-18.200,-15.710,-13.770,-12.180,-10.850,-9.680,-8.660,-7.750
160,-27.740,-21.730,-18.190,-15.710,-13.760,-12.180,-10.840,-9.670,-8.650,-7.740
170,-27.730,-21.720,-18.190,-15.700,-13.750,-12.170,-10.830,-9.670,-8.650,-7.740
180,-27.720,-21.720,-18.180,-15.690,-13.750,-12.160,-10.830,-9.660,-8.640,-7.730
190,-27.720,-21.710,-18.180,-15.690,-13.740,-12.160,-10.820,-9.660,-8.630,-7.730
200,-27.710,-21.710,-18.170,-15.680,-13.740,-12.150,-10.820,-9.650,-8.630,-7.720
