freq_MHz,A=0.001,A=0.002,A=0.005,A=0.007,A=0.01,A=0.015,A=0.02,A=0.03,A=0.04
50,-60.730,-55.560,-47.850,-44.920,-41.860,-38.350,-35.840,-32.340,-29.880
60,-60.630,-55.460,-47.810,-44.880,-41.810,-38.300,-35.800,-32.290,-29.840
70,-60.610,-55.470,-47.770,-44.840,-41.780,-38.270,-35.760,-32.250,-29.800
80,-60.650,-55.450,-47.740,-44.810,-41.760,-38.240,-35.740,-32.230,-29.780
120,-60.550,-55.370,-47.680,-44.760,-41.700,-38.180,-35.680,-32.170,-29.720
130,-60.530,-55.450,-47.670,-44.750,-41.690,-38.170,-35.670,-32.160,-29.710
140,-60.510,-55.460,-47.670,-44.740,-41.680,-38.160,-35.660,-32.150,-29.700
150,-60.450,-55.350,-47.650,-44.730,-41.670,-38.150,-35.650,-32.150,-29.690
160,-60.440,-55.300,-47.650,-44.720,-41.660,-38.150,-35.640,-32.140,-29.690
170,-60.460,-55.260,-47.640,-44.720,-41.660,-38.140,-35.640,-32.140,-29.680
180,-60.410,-55.270,-47.640,-44.720,-41.650,-38.140,-35.640,-32.130,-29.680
190,-60.410,-55.230,-47.640,-44.700,-41.650,-38.130,-35.630,-32.130,-29.670
200,-60.480,-55.250,-47.630,-44.700,-41.640,-38.130,-35.630,-32.120,-29.670
