# date,2026-03-19 19:21:41
# overlay,rfsoc_sam DDC mode — IQ output
# ddc_nco_mhz,1228.8
# image_correction,2x: f_DAC = DDC_NCO + f_target/2
# power_type,IQ power = I^2 + Q^2
# sweep_start_mhz,50.0
# sweep_stop_mhz,200.0
# sweep_step_mhz,1.0
# n_frames,20
# dac_amplitude,0.5
# settle_time_s,1.4439521880030952
# noise_floor_dbfs,-106.97822457654672
# adc_fs_mhz,4915.2
# n_fft,8192
target_freq_mhz,peak_power_dbfs,peak_freq_mhz,snr_db
50.0000,-106.21,51.6126,0.77
51.0000,-106.15,52.2127,0.82
52.0000,-106.71,53.4130,0.27
53.0000,-106.18,52.8129,0.80
54.0000,-106.13,55.2135,0.85
55.0000,-105.85,57.0139,1.13
56.0000,-105.91,57.6141,1.07
57.0000,-106.28,58.8144,0.70
58.0000,-106.51,56.4138,0.47
59.0000,-106.45,57.0139,0.53
60.0000,-106.41,60.6148,0.57
61.0000,-106.58,58.8144,0.39
62.0000,-106.69,60.0147,0.28
63.0000,-105.66,64.8158,1.31
64.0000,-106.88,65.4160,0.10
65.0000,-106.12,64.8158,0.86
66.0000,-106.45,63.6155,0.53
67.0000,-105.95,67.8166,1.02
68.0000,-106.12,66.6163,0.86
69.0000,-106.76,71.4174,0.22
70.0000,-106.27,68.4167,0.71
71.0000,-105.73,69.6170,1.25
72.0000,-105.79,70.2171,1.19
73.0000,-106.41,72.6177,0.57
74.0000,-106.14,76.2186,0.84
75.0000,-106.14,74.4182,0.84
76.0000,-106.38,74.4182,0.60
77.0000,-106.75,78.6192,0.23
78.0000,-106.35,78.0190,0.62
79.0000,-106.18,81.0198,0.80
80.0000,-106.08,81.0198,0.90
81.0000,-106.09,79.8195,0.89
82.0000,-106.00,82.8202,0.98
83.0000,-106.59,81.0198,0.39
84.0000,-106.03,84.0205,0.95
85.0000,-106.13,83.4204,0.85
86.0000,-106.44,87.6214,0.53
87.0000,-106.71,86.4211,0.27
88.0000,-106.15,87.6214,0.82
89.0000,-106.49,87.0212,0.49
90.0000,-106.62,92.4226,0.36
91.0000,-106.48,91.2223,0.50
92.0000,-107.05,90.0220,-0.07
93.0000,-106.28,92.4226,0.70
94.0000,-105.86,93.0227,1.11
95.0000,-106.34,96.6236,0.64
96.0000,-106.29,96.0234,0.68
97.0000,-105.55,96.6236,1.43
98.0000,-106.45,98.4240,0.52
99.0000,-105.97,98.4240,1.01
100.0000,-106.21,99.0242,0.77
101.0000,-106.53,99.6243,0.45
102.0000,-106.45,102.0249,0.53
103.0000,-106.81,104.4255,0.17
104.0000,-106.02,103.8253,0.96
105.0000,-106.46,107.4262,0.52
106.0000,-106.60,103.8253,0.38
107.0000,-106.35,105.0256,0.63
108.0000,-106.11,105.6258,0.86
109.0000,-105.93,108.6265,1.04
110.0000,-106.18,111.0271,0.80
111.0000,-106.39,112.8275,0.58
112.0000,-106.19,109.8268,0.79
113.0000,-106.80,114.0278,0.18
114.0000,-106.34,115.8283,0.64
115.0000,-106.07,115.8283,0.90
116.0000,-106.27,118.2289,0.71
117.0000,-106.59,117.6287,0.39
118.0000,-106.36,115.8283,0.62
119.0000,-106.27,117.0286,0.71
120.0000,-106.51,121.2296,0.47
